Indicator,Year,Value,Unit,Annual_Change_Pct,Source_Report,Source_Table,Source_Sheet,Source_File
Expenditure by Visited Households,2019,10545.602,RM million,,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Expenditure by Visited Households,2020,1789.6873578417,RM million,,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Expenditure by Visited Households,2021,959.2137919145,RM million,,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Expenditure by Visited Households,2022,4863.34371051881,RM million,,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Expenditure by Visited Households,2023,6255.703,RM million,,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Expenditure by Visited Households,2024,8299.88255510428,RM million,,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Number of Visitors,2017,205408.349313615,'000,8.53637686779867,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Number of Visitors,2018,221272.480734,'000,7.723216448307,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Number of Visitors,2019,239120.865664569,'000,8.06624704136851,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Number of Visitors,2020,131660.1507882,'000,-44.9399154597874,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Number of Visitors,2021,65975.955,'000,-49.8891998793662,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Number of Visitors,2022,171602.963,'000,160.099248279165,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Number of Visitors,2023,213743.544,'000,24.5570241115242,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
